pais,causa,metrica,sexo,edad,anio,valor,limite_superior,limite_inferior
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1997,16417433.885586657,18445996.01322479,14658754.9238335
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1997,16791.323955449086,18866.08448662026,14992.592900021751
Colombia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,5638302.894550445,6362964.496266157,4989913.24156069
Colombia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,15453.457853574842,17439.61002199443,13676.35180543124
Paraguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,712499.8329385099,806385.7455021264,628395.8823176569
Paraguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,15304.72972783852,17321.429873734025,13498.14932769023
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1998,1521895.884397759,1702004.5027593998,1364262.4226308072
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1998,19260.454317917243,21539.830884856496,17265.513586121393
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1998,16787134.23275128,18891513.00280633,15001463.846623102
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1998,16936.093592691155,19059.145407848024,15134.5781960869
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1998,866793.713531523,944943.4676905888,790945.3038884662
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1998,26318.17193235202,28691.00716906549,24015.21166093002
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2000,2137889.2243133504,2392385.472348657,1913882.104518344
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2000,16932.338035817527,18947.97872083248,15158.174888511716
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1999,871048.520295613,950936.3687614097,797515.5214001378
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1999,26365.028132840394,28783.08559255345,24139.32021944727
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1999,1558747.3440763971,1737863.1252260692,1384980.50469088
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1999,19213.2206826113,21421.013397732862,17071.35936998655
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1999,17072905.38011439,19163733.298929643,15260824.259562496
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1999,17005.920149729238,19088.544743643437,15200.948696139929
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2000,8342044.089061242,9237049.796605602,7548636.540179054
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2000,22556.897985562773,24976.994574125216,20411.522949175876
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2000,3707127.2494192473,4178279.573230116,3263858.24795916
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,2000,15902.684950690638,17923.815185840704,14001.167467110496
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,2000,34988276.696838915,39573722.059394695,31219943.263982955
